timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
113,0.49,8.05,90.16,-4077.5,29190.0,10377.5
143,9.64,10.49,147.74,-5932.5,6282.5,9835.0
172,23.67,10.49,204.59,-6440.0,8347.5,4532.5
202,37.7,13.66,262.54,-2747.5,23660.0,2310.0
231,55.51,19.64,318.18,647.5,12477.5,4532.5
261,80.15,21.47,368.81,6282.5,2607.5,2047.5
290,108.82,19.4,414.31,9555.0,-7612.5,-10990.0
319,126.88,18.91,455.3,7507.5,-6352.5,-23852.5
348,122.24,21.23,491.54,4637.5,-19740.0,-29102.5
377,93.21,26.96,522.53,-1032.5,-34177.5,-30415.0
406,43.19,34.16,553.03,-2817.5,-20807.5,-17937.5
436,-15.13,38.67,583.77,4375.0,-12057.5,1540.0
465,-69.3,40.5,609.63,15277.5,-20212.5,16765.0
494,-113.46,42.58,628.79,14420.0,-2100.0,25077.5
523,-146.52,45.14,645.75,12162.5,17010.0,31500.0
552,-164.46,50.26,660.51,6702.5,12232.5,33827.5
581,-159.33,58.8,672.22,-2765.0,10972.5,32900.0
610,-132.0,67.22,687.35,-2450.0,39620.0,36435.0
639,-89.3,71.37,712.97,-5827.5,47530.0,36207.5
668,-38.19,64.54,749.32,-11690.0,22015.0,25900.0
697,13.3,47.34,784.34,-560.0,-1435.0,1172.5
726,54.41,34.04,809.47,8522.5,3377.5,-22802.5
756,76.62,28.79,829.11,9117.5,10972.5,-24185.0
785,78.81,28.67,842.53,11637.5,-14000.0,-26827.5
814,58.19,35.87,850.83,10815.0,-21787.5,-27825.0
843,19.03,53.56,854.98,-2870.0,9922.5,-7052.5
872,-22.94,70.39,855.95,-7857.5,-6947.5,-6335.0
901,-64.42,78.81,857.9,-8907.5,-15277.5,-9782.5
930,-101.75,88.69,859.37,12810.0,-71312.5,20055.0
959,-122.0,101.5,863.27,42297.5,-61005.0,41440.0
988,-137.13,113.7,863.52,38535.0,16590.0,35157.5
1017,-155.55,126.39,863.27,-4585.0,14892.5,35840.0
1046,-162.87,136.15,871.08,-15540.0,-13195.0,40827.5
1075,-152.62,137.86,883.77,-1785.0,-1172.5,41895.0
1104,-128.34,131.39,895.48,-1032.5,17517.5,38990.0
1132,-95.4,119.93,907.31,-15207.5,15680.0,40407.5
1161,-57.71,108.46,927.2,-9625.0,36907.5,44205.0
1190,-14.64,99.06,939.64,4690.0,74445.0,39112.5
1219,34.65,90.04,945.5,-5180.0,64645.0,17937.5
1248,89.43,73.08,964.78,-22207.5,53427.5,-16065.0
1277,126.39,52.22,991.62,23712.5,-11322.5,-78102.5
1306,126.39,36.84,1000.89,40740.0,-19862.5,-99137.5
1335,102.24,30.26,989.54,32777.5,-17307.5,-101797.5
1364,51.12,34.4,971.97,24482.5,-1855.0,-93275.0
1394,-32.7,46.73,953.19,19092.5,-2275.0,-60217.5
1423,-131.76,61.73,935.62,13597.5,6177.5,-14210.0
1453,-224.85,74.54,914.76,4970.0,18970.0,30432.5
1482,-297.56,79.42,888.77,-6002.5,8837.5,69282.5
1511,-341.84,73.08,863.76,-22207.5,-14910.0,97947.5
1540,-358.92,58.56,850.58,-30100.0,-30065.0,108167.5
1568,-342.82,34.89,855.34,-36085.0,-30292.5,112420.0
1597,-268.64,5.98,884.99,-35525.0,2765.0,104510.0
1626,-134.57,-19.76,934.52,-24430.0,28245.0,57295.0
1655,13.66,-41.97,985.03,-7892.5,20807.5,-17780.0
1684,122.98,-65.39,1024.8,20195.0,-4200.0,-89582.5
1713,173.36,-92.72,1041.76,50330.0,-21472.5,-133367.5
1742,163.72,-118.1,1029.44,47845.0,-24902.5,-155645.0
1771,84.42,-133.96,1004.18,20440.0,-50697.5,-149905.0
1800,-52.95,-134.2,983.81,-2222.5,-79152.5,-88287.5
1828,-192.27,-120.05,979.9,-14612.5,-38255.0,-262.5
1857,-292.68,-105.04,987.22,2625.0,28682.5,64802.5
1886,-353.31,-104.43,982.34,7105.0,44835.0,112822.5
1915,-376.74,-121.02,971.61,-8715.0,25427.5,136535.0
1943,-356.73,-148.11,972.71,-12145.0,23957.5,148155.0
1972,-272.55,-177.02,990.88,-18532.5,48387.5,130025.0
2000,-132.98,-198.01,1022.73,-12740.0,28192.5,66990.0
2029,16.23,-208.86,1061.03,577.5,5232.5,-13457.5
2058,131.03,-218.38,1093.49,15750.0,-5845.0,-93520.0
2087,187.51,-234.97,1101.66,34720.0,-13510.0,-145582.5
2116,180.32,-252.3,1081.16,38692.5,-34807.5,-168017.5
2144,88.82,-259.13,1053.59,10027.5,-79327.5,-159775.0
2173,-80.03,-247.54,1049.2,-6300.0,-95252.5,-71960.0
2201,-241.44,-225.82,1064.08,8172.5,-27142.5,35892.5
2230,-335.62,-213.01,1066.77,21420.0,50645.0,96355.0
2258,-371.37,-216.92,1050.42,12495.0,61250.0,132632.5
2287,-354.65,-234.97,1034.8,-12162.5,40232.5,147192.5
2315,-288.41,-257.91,1040.78,-25567.5,20387.5,141697.5
2344,-162.38,-274.5,1079.21,-8960.0,15050.0,100327.5
2373,-2.2,-276.94,1127.4,48615.0,18410.0,15837.5
2402,133.1,-269.5,1145.34,59587.5,7945.0,-55230.0
2431,219.11,-264.5,1134.48,28822.5,-27090.0,-110775.0
2460,244.73,-267.42,1118.5,8697.5,-50382.5,-145337.5
2489,198.86,-272.79,1109.35,-6965.0,-61775.0,-155277.5
2517,72.22,-268.28,1107.39,-14857.5,-84507.5,-120347.5
2546,-92.35,-250.1,1113.86,-9187.5,-55510.0,-27982.5
2574,-221.43,-229.36,1117.52,14595.0,38482.5,50137.5
2603,-290.97,-219.23,1094.83,13667.5,81882.5,99697.5
2631,-308.17,-223.02,1060.79,-21315.0,52972.5,126962.5
2660,-273.4,-234.97,1052.86,-41160.0,27422.5,129360.0
2688,-184.34,-244.24,1073.84,-30870.0,30730.0,99540.0
2717,-50.75,-241.8,1107.03,-12075.0,15820.0,48842.5
2746,92.35,-229.6,1140.21,542.5,1960.0,-22015.0
2776,198.37,-219.36,1159.37,13755.0,-18970.0,-86660.0
2805,247.05,-221.31,1157.05,20212.5,-29785.0,-127172.5
2834,236.31,-231.56,1141.19,8312.5,-30467.5,-149660.0
2863,153.11,-237.66,1125.21,-2537.5,-56297.5,-139282.5
2891,12.2,-232.41,1116.3,-8120.0,-73220.0,-72712.5
2920,-130.42,-217.89,1120.94,-4375.0,-17832.5,7892.5
2948,-233.02,-205.2,1121.3,16940.0,44537.5,72712.5
2977,-289.75,-205.57,1100.07,10885.0,49315.0,119385.0
3005,-304.27,-221.8,1081.65,-15872.5,32462.5,148487.5
3034,-261.45,-246.32,1086.29,-23152.5,45657.5,150745.0
3062,-154.45,-264.98,1108.37,-14280.0,46585.0,105962.5
3091,-11.47,-269.13,1138.75,507.5,22540.0,34125.0
3120,125.78,-263.15,1165.83,16922.5,3430.0,-37555.0
3149,223.99,-259.98,1177.06,29925.0,-12285.0,-100642.5
3178,267.06,-267.67,1165.47,34772.5,-25760.0,-140927.5
3206,251.93,-278.89,1143.51,12442.5,-29907.5,-157045.0
3235,159.94,-283.41,1126.3,1155.0,-53882.5,-153790.0
3263,-0.12,-276.7,1120.45,-4025.0,-67777.5,-69807.5
3292,-150.55,-262.54,1127.04,6807.5,-5040.0,25480.0
3321,-248.51,-251.56,1119.96,23467.5,46935.0,76142.5
3350,-305.12,-250.83,1088.24,9117.5,44765.0,117355.0
3379,-321.47,-261.45,1058.11,-17272.5,29855.0,142205.0
3408,-285.85,-277.92,1052.86,-34020.0,32077.5,146440.0
3436,-192.52,-289.87,1073.84,-32637.5,35192.5,114065.0
3465,-45.02,-290.6,1113.13,-12565.0,17797.5,56892.5
3494,114.8,-286.82,1151.07,18235.0,5040.0,-32585.0
3523,222.28,-290.85,1164.61,30835.0,-28735.0,-108412.5
3552,260.59,-303.54,1158.02,18305.0,-40652.5,-145880.0
3580,239.36,-317.08,1149.0,7140.0,-26967.5,-159687.5
3609,154.82,-323.18,1137.04,10080.0,-40652.5,-152932.5
3637,6.59,-316.22,1124.11,-1347.5,-73902.5,-85085.0
3666,-145.42,-298.66,1127.28,-8067.5,-29225.0,13632.5
3694,-245.95,-282.06,1131.43,18970.0,32340.0,72240.0
3723,-298.66,-275.96,1110.81,17290.0,53410.0,112927.5
3751,-305.98,-280.11,1087.51,-15365.0,57067.5,133000.0
3780,-269.13,-286.94,1083.73,-26110.0,54267.5,121905.0
3808,-195.44,-288.77,1097.15,-21525.0,33057.5,92767.5
3837,-87.72,-281.33,1122.03,-3430.0,22172.5,55860.0
3866,40.87,-265.84,1148.02,7315.0,15977.5,-6142.5
3896,145.42,-251.69,1165.95,11077.5,-18620.0,-70157.5
3925,199.1,-249.37,1174.01,15242.5,-43137.5,-108185.0
3953,207.64,-256.57,1173.15,15295.0,-37905.0,-131355.0
3982,170.19,-264.13,1164.37,12040.0,-33967.5,-136185.0
4010,77.59,-265.47,1147.78,7822.5,-58747.5,-116655.0
4039,-58.93,-256.69,1133.87,-5582.5,-71732.5,-49525.0
4067,-189.71,-241.44,1131.79,-560.0,-10220.0,28875.0
4096,-276.7,-232.17,1120.94,16572.5,38850.0,89495.0
4125,-316.96,-235.46,1095.56,-2992.5,38395.0,123742.5
4154,-318.66,-248.64,1079.46,-22995.0,25375.0,132562.5
4182,-276.57,-266.2,1082.51,-20667.5,35682.5,134855.0
4211,-170.92,-278.65,1101.78,-19005.0,49717.5,102900.0
4240,-20.86,-276.7,1134.84,-9800.0,28857.5,31255.0
4268,117.73,-266.69,1173.15,8540.0,1137.5,-45972.5
4297,212.77,-265.47,1193.4,40880.0,-17307.5,-101185.0
4325,262.18,-280.36,1183.89,46865.0,-32165.0,-138250.0
4354,257.54,-300.85,1162.9,19897.5,-36400.0,-164552.5
4382,161.16,-317.69,1143.14,5547.5,-71767.5,-161385.0
4411,-20.37,-322.57,1134.84,-7210.0,-99925.0,-70420.0
4439,-195.32,-314.64,1146.43,-2082.5,-3010.0,38325.0
4468,-301.22,-309.88,1146.56,22435.0,74130.0,107992.5
4497,-344.89,-319.76,1117.76,4690.0,74445.0,147017.5
4526,-337.94,-341.36,1093.73,-32130.0,41685.0,163520.0
4555,-272.3,-364.05,1098.73,-38675.0,27825.0,147910.0
4583,-145.42,-374.91,1129.84,-23765.0,22470.0,98052.5
4612,29.52,-373.32,1173.76,1190.0,36855.0,22977.5
4641,193.0,-371.37,1212.07,25287.5,14017.5,-77630.0
4670,278.89,-384.18,1227.93,46532.5,-38990.0,-146282.5
4698,285.11,-408.46,1214.39,47162.5,-42245.0,-170747.5
4727,227.9,-427.49,1186.08,19565.0,-32602.5,-165637.5
4755,98.58,-433.1,1161.93,-4655.0,-71312.5,-130725.0
4784,-88.21,-423.46,1156.32,-15960.0,-92557.5,-40232.5
4812,-252.54,-406.38,1167.54,5162.5,-2642.5,62772.5
4841,-337.45,-397.6,1160.22,31482.5,74095.0,122815.0
4870,-362.34,-404.31,1123.5,7630.0,63962.5,144165.0
4899,-343.31,-422.36,1098.85,-30065.0,32900.0,161507.5
4928,-256.93,-441.4,1111.66,-48055.0,54355.0,145617.5
4956,-108.34,-447.98,1153.88,-38045.0,37117.5,79660.0
4985,56.0,-440.42,1206.7,-3815.0,9625.0,-4165.0
5014,191.78,-431.88,1244.28,29347.5,-9327.5,-84927.5
5043,275.23,-439.69,1250.01,60795.0,-22225.0,-146457.5
5071,284.75,-468.97,1222.44,57085.0,-39305.0,-193060.0
5100,176.05,-494.34,1181.2,18287.5,-105962.5,-181212.5
5128,-17.57,-490.44,1165.59,-21350.0,-105210.0,-60637.5
5157,-183.73,-467.63,1175.47,-12057.5,13300.0,43102.5
5186,-279.14,-448.96,1169.49,2590.0,74532.5,96110.0
5215,-328.79,-444.93,1142.29,-14927.5,64155.0,132860.0
5244,-339.89,-456.4,1126.43,-45482.5,40932.5,154927.5
5273,-292.56,-474.95,1139.48,-44327.5,44450.0,152337.5
5302,-179.71,-486.29,1170.96,-36977.5,45080.0,121152.5
5330,-32.94,-493.12,1220.85,-58765.0,31255.0,36137.5
5359,91.5,-499.71,1275.51,22890.0,122.5,-53865.0
5388,158.11,-503.98,1294.18,79712.5,-28910.0,-113190.0
5417,172.51,-506.54,1268.56,85015.0,-38990.0,-140857.5
5445,137.01,-502.4,1220.49,50715.0,-48685.0,-151410.0
5474,34.16,-488.0,1176.57,-3780.0,-81515.0,-121152.5
5502,-112.24,-462.26,1164.25,-37380.0,-88305.0,-41335.0
5531,-246.2,-434.44,1178.89,6195.0,-18357.5,38552.5
5560,-332.69,-419.92,1174.37,39672.5,56577.5,103512.5
5589,-364.78,-423.83,1137.16,6790.0,59220.0,137830.0
5618,-347.46,-439.2,1111.91,-40215.0,27422.5,146055.0
