acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-18.91,363.07,948.18,-2415.0,16677.5,2572.5
-31.23,359.05,955.63,3220.0,19110.0,7420.0
-47.58,352.34,964.78,8592.5,22995.0,16852.5
-67.95,342.21,974.54,13055.0,30572.5,29487.5
-92.84,329.16,982.59,20230.0,34650.0,46147.5
-120.9,314.88,986.98,25655.0,35280.0,66255.0
-148.35,300.61,987.83,27107.5,36277.5,86572.5
-173.97,286.33,984.91,27580.0,36225.0,108167.5
-195.69,273.4,978.32,27160.0,28665.0,130235.0
-209.6,262.42,971.12,25497.5,21140.0,145932.5
-214.96,251.69,965.02,22662.5,24675.0,157605.0
-214.48,240.22,958.19,20072.5,31465.0,168997.5
-209.35,229.6,949.53,18095.0,33635.0,181282.5
-197.15,221.92,939.64,16607.5,30257.5,190820.0
-175.19,218.26,929.52,14770.0,27877.5,194215.0
-141.76,220.45,919.64,10150.0,29487.5,190715.0
-95.89,228.14,911.1,1365.0,34055.0,177310.0
-37.94,240.71,904.26,-4847.5,35962.5,155312.5
28.79,258.15,899.38,-11112.5,31885.0,124845.0
100.28,279.01,898.65,-13317.5,20212.5,91455.0
174.22,302.19,903.41,-6457.5,7367.5,57890.0
248.15,326.23,910.61,3430.0,1400.0,23590.0
318.66,349.77,916.71,8907.5,1312.5,-8767.5
383.69,371.73,920.12,12075.0,1470.0,-40075.0
439.69,390.4,920.12,10360.0,665.0,-73115.0
482.88,404.06,916.59,9852.5,-2502.5,-103810.0
513.86,411.02,910.24,5687.5,-4847.5,-128152.5
534.48,411.87,903.17,-1365.0,-2870.0,-147735.0
545.71,407.72,896.46,-3710.0,-2852.5,-163975.0
548.76,400.65,888.53,-1050.0,-8767.5,-179987.5
545.46,391.5,878.89,-1610.0,-16730.0,-197277.5
536.07,379.66,869.74,-3465.0,-24430.0,-216825.0
516.79,362.83,863.39,-9502.5,-28752.5,-234167.5
482.63,339.4,861.81,-19302.5,-26932.5,-238297.5
432.86,311.1,865.47,-27562.5,-23187.5,-230965.0
367.95,279.62,874.25,-31202.5,-15470.0,-218995.0
285.24,245.22,887.79,-32392.5,-910.0,-202667.5
182.39,206.3,904.26,-28350.0,1172.5,-165725.0
66.37,164.21,921.59,-18777.5,-5197.5,-105490.0
-48.92,124.81,938.91,-3080.0,-9170.0,-33600.0
-150.3,92.6,953.8,10657.5,-5897.5,33267.5
-231.56,69.66,962.82,20212.5,1155.0,84507.5
-292.43,53.92,964.04,24850.0,1155.0,123235.0
-334.28,43.31,958.19,27667.5,-9660.0,153055.0
-358.68,36.23,948.67,26950.0,-21210.0,174160.0
-368.2,30.99,938.55,24447.5,-26477.5,190102.5
-365.51,26.23,929.52,24500.0,-25935.0,203752.5
-352.34,22.33,920.12,28315.0,-27440.0,215600.0
-329.4,21.47,909.39,30292.5,-30695.0,224630.0
-294.02,24.89,899.38,26302.5,-29137.5,226625.0
-243.51,33.18,892.19,19512.5,-20457.5,218540.0
-177.02,46.97,887.18,11042.5,-7665.0,202685.0
-96.26,67.83,884.99,2537.5,3972.5,177922.5
-5.12,96.5,886.7,-3780.0,15260.0,143885.0
93.45,132.37,891.58,-3010.0,25795.0,103180.0
194.71,173.48,896.33,2292.5,29452.5,54355.0
289.38,215.45,898.04,7350.0,18707.5,1470.0
371.0,252.91,897.68,13685.0,-3920.0,-42682.5
440.54,283.53,895.97,21700.0,-18287.5,-75915.0
499.35,308.17,890.97,23765.0,-19022.5,-106802.5
546.44,326.84,881.57,18585.0,-14385.0,-138110.0
580.84,338.67,869.37,7455.0,-6667.5,-166407.5
600.48,342.82,856.44,-6300.0,-1960.0,-190260.0
604.63,339.28,845.46,-15277.5,-6020.0,-205275.0
596.09,330.5,837.41,-16065.0,-16642.5,-213395.0
576.08,318.18,831.8,-18375.0,-22995.0,-220622.5
542.05,301.1,830.09,-23887.5,-22802.5,-220500.0
494.47,280.48,832.28,-29067.5,-21525.0,-210910.0
437.0,258.15,838.51,-34072.5,-10727.5,-196595.0
368.93,233.87,848.39,-40197.5,2327.5,-185202.5
285.97,206.3,860.71,-41737.5,3430.0,-169592.5
189.95,175.31,876.2,-32917.5,-11007.5,-139072.5
87.72,142.37,894.87,-17045.0,-22540.0,-92260.0
-13.54,110.29,914.76,-1977.5,-22312.5,-35560.0
-106.63,81.86,933.67,12722.5,-15452.5,24885.0
-183.73,59.17,948.06,27475.0,-4550.0,81480.0
-240.22,43.68,954.28,34860.0,1715.0,124862.5
-276.82,34.04,953.92,34492.5,2450.0,153720.0
-297.56,27.82,949.89,33302.5,70.0,171902.5
-306.83,22.81,942.82,33547.5,-7315.0,186830.0
-305.49,18.79,934.64,34405.0,-15592.5,201705.0
-292.56,16.47,926.83,32252.5,-13632.5,213237.5
-267.67,17.08,920.37,27142.5,-3797.5,221007.5
-230.7,21.59,915.24,21752.5,9940.0,224385.0
-178.85,32.45,909.88,14525.0,25882.5,224332.5
-108.34,52.09,903.65,4077.5,40600.0,210682.5
-22.2,81.25,897.92,-8505.0,48527.5,178710.0
72.22,118.1,894.38,-15785.0,48037.5,134960.0
169.09,159.45,893.41,-16887.5,39462.5,89495.0
265.96,203.01,895.72,-9922.5,26302.5,45972.5
359.29,245.83,899.02,1225.0,16380.0,-700.0
443.35,283.89,899.38,12547.5,8645.0,-45115.0
514.96,315.37,894.63,19145.0,3587.5,-85505.0
571.57,339.4,884.87,19757.5,-2135.0,-125300.0
610.0,355.02,873.03,16415.0,-15032.5,-160160.0
631.47,361.61,862.3,12197.5,-30257.5,-186322.5
639.52,359.9,853.51,7857.5,-40057.5,-201792.5
636.23,351.97,845.83,-2135.0,-37835.0,-212730.0
620.13,338.06,840.34,-18917.5,-26775.0,-218942.5
591.21,318.79,838.38,-33600.0,-14735.0,-218960.0
550.59,295.73,840.7,-40617.5,-7612.5,-217315.0
495.81,268.16,846.56,-41912.5,-7105.0,-216457.5
420.17,234.85,855.34,-43977.5,-13317.5,-208547.5
322.93,197.88,868.76,-39305.0,-29330.0,-178885.0
215.7,160.67,887.67,-23047.5,-39585.0,-125510.0
112.12,126.88,908.66,-9992.5,-26215.0,-65275.0
16.84,98.58,927.93,-7542.5,-1540.0,-16240.0
-71.13,74.91,942.94,-2380.0,7332.5,26617.5
-150.18,54.78,953.55,13335.0,-2765.0,70402.5
-214.96,38.19,959.65,28297.5,-14315.0,113977.5
-262.06,24.64,962.34,35560.0,-14857.5,154035.0
-291.82,13.66,962.09,37712.5,-5162.5,187862.5
-305.98,4.88,958.92,38622.5,1750.0,214952.5
-305.98,-1.95,952.7,39655.0,3062.5,235305.0
-292.56,-6.71,944.16,39147.5,-1102.5,248622.5
-267.67,-9.15,935.5,37415.0,-8645.0,256550.0
-230.58,-8.17,928.66,38762.5,-14700.0,260085.0
