timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
83,3.42,1.34,31.72,5670.0,6247.5,28385.0
113,10.25,2.44,93.21,-1680.0,1050.0,-3990.0
142,8.54,0.73,151.04,-280.0,-192.5,-8400.0
172,2.93,-1.59,205.08,210.0,-245.0,-437.5
202,2.44,-2.93,255.71,245.0,-210.0,0.0
232,1.95,-4.15,303.29,157.5,-175.0,-17.5
262,1.46,-5.37,347.82,87.5,-175.0,-35.0
291,1.1,-6.34,389.67,122.5,-192.5,-35.0
321,0.73,-7.44,428.83,52.5,-157.5,-35.0
351,0.37,-8.42,465.55,122.5,-175.0,-35.0
381,0.0,-9.27,499.83,122.5,-175.0,-35.0
411,-0.37,-10.25,532.16,122.5,-192.5,-35.0
441,-0.73,-10.98,562.42,105.0,-175.0,-35.0
470,-0.98,-11.71,590.72,105.0,-175.0,-17.5
500,-1.22,-12.44,617.32,140.0,-192.5,-17.5
529,-1.59,-13.05,642.21,122.5,-175.0,-17.5
559,-1.83,-13.66,665.63,105.0,-157.5,-17.5
589,-1.95,-14.27,687.47,105.0,-175.0,-35.0
619,-2.2,-14.88,708.09,192.5,-175.0,-17.5
649,-2.44,-15.37,727.36,332.5,-210.0,-122.5
679,-2.68,-15.86,745.42,210.0,-210.0,-52.5
709,-2.81,-16.23,762.26,122.5,-175.0,0.0
738,-2.93,-16.71,778.12,105.0,-175.0,0.0
768,-3.17,-17.08,793.0,122.5,-175.0,-35.0
797,-3.17,-17.45,806.91,105.0,-192.5,-17.5
827,-3.42,-17.69,819.96,105.0,-175.0,-35.0
856,-3.54,-18.06,832.28,105.0,-175.0,-35.0
886,-3.66,-18.3,843.75,122.5,-175.0,-35.0
915,-3.66,-18.54,854.49,140.0,-175.0,-35.0
945,-3.9,-18.79,864.61,140.0,-175.0,-17.5
974,-3.9,-19.03,874.01,122.5,-157.5,-17.5
1004,-4.03,-19.28,882.79,105.0,-175.0,-17.5
1033,-4.15,-19.52,891.21,105.0,-175.0,-35.0
1063,-4.15,-19.76,899.02,122.5,-175.0,-35.0
1092,-4.15,-19.89,906.22,122.5,-175.0,-35.0
1122,-4.27,-20.01,913.05,122.5,-192.5,-35.0
1152,-4.27,-20.25,919.51,122.5,-175.0,-17.5
1181,-4.39,-20.37,925.49,140.0,-175.0,-35.0
1211,-4.51,-20.5,931.1,105.0,-175.0,-35.0
1240,-4.51,-20.62,936.35,122.5,-175.0,-17.5
1270,-4.64,-20.74,941.35,122.5,-192.5,-35.0
1299,-4.64,-20.86,945.99,122.5,-175.0,-35.0
1329,-4.64,-20.98,950.38,140.0,-175.0,-35.0
1358,-4.64,-20.98,954.41,140.0,-175.0,-35.0
1388,-4.64,-21.23,958.31,122.5,-175.0,-17.5
1417,-4.64,-21.23,961.85,157.5,-175.0,-17.5
1447,-4.76,-21.23,965.26,175.0,-175.0,-35.0
1476,-4.76,-21.47,968.44,140.0,-175.0,-35.0
1506,-4.76,-21.47,971.36,122.5,-192.5,-35.0
1535,-4.88,-21.47,974.17,105.0,-192.5,-35.0
1565,-4.88,-21.47,976.73,105.0,-192.5,-35.0
1595,-4.88,-21.59,979.29,105.0,-175.0,-35.0
1625,-4.88,-21.59,981.61,105.0,-175.0,-17.5
1655,-5.0,-21.72,983.69,122.5,-157.5,-35.0
1684,-5.0,-21.72,985.64,122.5,-192.5,-35.0
1714,-5.0,-21.84,987.59,105.0,-175.0,-17.5
1743,-5.0,-21.84,989.42,122.5,-175.0,-17.5
1773,-5.0,-21.84,991.01,122.5,-175.0,-35.0
1802,-5.0,-21.84,992.59,122.5,-175.0,-17.5
1832,-5.0,-21.96,994.06,122.5,-157.5,-35.0
1861,-5.0,-21.96,995.4,87.5,-192.5,-35.0
1891,-5.12,-21.96,996.74,87.5,-175.0,-35.0
1920,-5.12,-21.96,997.96,105.0,-157.5,-35.0
1950,-5.12,-22.08,999.18,105.0,-175.0,-35.0
