acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
7.81,239.61,976.73,542.5,-595.0,385.0
8.17,239.61,976.49,-140.0,-332.5,175.0
8.3,239.61,976.24,-560.0,-472.5,-35.0
8.3,239.73,976.0,-210.0,-682.5,-87.5
8.3,239.85,975.88,87.5,-122.5,0.0
8.3,239.85,975.76,-87.5,542.5,210.0
8.3,239.85,975.63,-437.5,402.5,192.5
8.54,239.61,975.76,-192.5,-245.0,-140.0
8.66,239.49,976.0,87.5,-297.5,-227.5
8.54,239.36,976.24,227.5,-262.5,52.5
8.54,239.24,976.49,192.5,-437.5,105.0
8.54,239.12,976.73,105.0,-35.0,70.0
8.54,239.0,976.85,157.5,157.5,157.5
8.54,239.0,976.73,437.5,-140.0,245.0
8.66,239.0,976.49,210.0,-245.0,122.5
8.78,239.0,976.24,-245.0,35.0,0.0
8.78,239.12,976.24,-315.0,0.0,-122.5
8.66,239.0,976.61,-105.0,280.0,-35.0
8.54,239.0,976.85,70.0,525.0,140.0
8.3,239.0,976.73,157.5,105.0,0.0
8.05,239.0,976.61,140.0,-437.5,-210.0
7.81,238.88,976.61,52.5,-367.5,-122.5
7.56,238.75,976.73,140.0,-122.5,157.5
7.44,238.75,976.73,280.0,-17.5,315.0
7.56,238.63,976.98,-332.5,595.0,332.5
7.56,238.63,977.22,-630.0,1435.0,490.0
7.56,238.63,977.22,-70.0,875.0,280.0
7.56,238.63,976.98,140.0,-17.5,-17.5
7.44,238.51,976.98,-262.5,-367.5,-52.5
7.32,238.27,977.34,-315.0,157.5,87.5
7.2,238.14,977.71,70.0,472.5,332.5
7.2,238.02,977.71,245.0,-17.5,157.5
7.08,238.14,977.59,210.0,-332.5,-35.0
6.95,238.14,977.46,52.5,-227.5,70.0
6.83,238.02,977.59,-227.5,227.5,140.0
6.71,237.78,977.71,-35.0,542.5,122.5
6.34,237.78,977.46,367.5,210.0,17.5
6.1,237.78,976.98,210.0,-647.5,-122.5
5.98,237.66,977.1,-472.5,-385.0,-17.5
5.98,237.53,977.46,-472.5,192.5,227.5
5.98,237.41,977.95,332.5,-717.5,17.5
6.1,237.41,978.32,612.5,-980.0,-157.5
6.34,237.29,978.56,-35.0,0.0,-70.0
6.34,237.17,978.81,-70.0,350.0,-175.0
6.22,236.92,978.81,437.5,87.5,-140.0
6.1,236.92,978.44,-140.0,367.5,35.0
6.22,236.92,978.2,-962.5,665.0,17.5
6.1,236.8,978.2,-962.5,262.5,-35.0
5.98,236.68,978.2,-490.0,-612.5,-210.0
5.73,236.68,978.07,87.5,-1242.5,-455.0
5.49,236.44,977.83,-385.0,-577.5,-35.0
5.37,236.31,977.71,-1365.0,490.0,385.0
5.25,236.19,977.71,-1767.5,717.5,332.5
5.0,235.83,977.95,-1680.0,437.5,490.0
4.64,235.58,978.2,-1837.5,455.0,752.5
4.64,235.34,978.32,-1802.5,245.0,647.5
4.39,235.22,978.68,-1260.0,-437.5,175.0
4.27,234.97,978.93,70.0,-1207.5,-87.5
4.39,234.73,978.81,-70.0,-1032.5,105.0
4.39,234.48,978.93,-1435.0,367.5,385.0
4.39,234.24,979.17,-1487.5,560.0,280.0
