timestamp_ms,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
4039,67.83,254.0,980.76,5390.0,-9957.5,-34702.5
4068,49.65,249.86,978.44,3447.5,-5792.5,-25952.5
4097,28.79,245.22,976.0,-105.0,-70.0,-16397.5
4126,6.95,240.58,975.63,-1137.5,437.5,-6632.5
4155,-12.81,235.22,976.61,-752.5,735.0,3955.0
4184,-28.67,229.73,978.81,-612.5,3412.5,14367.5
4213,-38.67,226.68,981.61,5442.5,-3832.5,20177.5
4242,-42.21,227.16,982.83,7700.0,-4865.0,22715.0
4271,-42.58,229.97,983.08,6055.0,-70.0,25165.0
4300,-40.26,233.26,982.83,6142.5,52.5,25847.5
4330,-35.99,235.58,982.34,5932.5,2537.5,25830.0
4359,-31.23,237.17,981.37,6020.0,2380.0,25952.5
4389,-26.35,238.63,980.03,7297.5,595.0,26197.5
4418,-21.47,240.34,977.22,6527.5,1995.0,27352.5
4447,-16.1,242.29,973.68,4305.0,3745.0,30135.0
4476,-8.05,244.0,971.61,2380.0,4235.0,31290.0
4505,1.22,245.83,970.27,3850.0,2275.0,30537.5
4534,12.08,248.39,967.46,6107.5,-2870.0,28525.0
4563,24.03,251.32,963.56,4287.5,-1172.5,26862.5
4592,35.75,254.25,959.41,1802.5,1347.5,27615.0
4621,50.14,257.18,956.85,-245.0,3482.5,26407.5
4651,67.83,259.86,956.48,3500.0,8277.5,22172.5
4680,84.18,264.25,954.89,3622.5,13930.0,16292.5
4710,98.82,270.23,953.31,-1855.0,10395.0,6982.5
4739,113.7,275.48,953.67,192.5,3657.5,-2432.5
4769,127.73,280.84,953.19,2677.5,-1452.5,-10307.5
4798,140.3,286.46,950.5,1137.5,-1050.0,-15802.5
4827,150.18,291.46,948.31,-2817.5,1960.0,-19862.5
4856,156.04,294.87,948.43,-1557.5,-35.0,-24237.5
4885,157.87,296.58,947.94,-332.5,-560.0,-26862.5
4914,155.92,297.19,945.62,-3430.0,-1015.0,-28402.5
4943,152.01,297.44,944.28,-3080.0,-9362.5,-30712.5
4972,146.16,297.44,945.01,-3972.5,-7927.5,-31622.5
5001,138.1,297.19,946.72,-4952.5,-2975.0,-27825.0
5030,130.17,297.07,948.79,-4882.5,-910.0,-25515.0
5059,123.34,297.19,950.14,-1925.0,-4270.0,-24570.0
5088,117.36,297.31,950.87,-3482.5,-945.0,-22785.0
5117,111.87,296.83,952.94,-2065.0,-1137.5,-20160.0
5146,108.58,296.58,953.67,-980.0,-1242.5,-20072.5
5175,104.68,296.22,953.67,-3272.5,-1890.0,-24815.0
5204,94.31,293.9,955.63,-2467.5,-4217.5,-26477.5
5233,77.23,290.24,957.33,1452.5,-9555.0,-23852.5
5262,55.02,286.21,957.94,1085.0,-7700.0,-15960.0
5291,30.26,282.06,958.8,-3027.5,3622.5,-1837.5
5320,8.78,278.04,960.99,-2117.5,3237.5,8732.5
5350,-7.2,274.5,964.29,-35.0,3062.5,15750.0
5379,-18.79,272.3,966.73,2992.5,2240.0,21455.0
5408,-25.5,271.69,965.63,1207.5,6370.0,27195.0
5437,-28.3,271.21,963.31,-3850.0,10377.5,29557.5
5466,-30.26,268.77,963.92,-1767.5,5145.0,30047.5
5495,-31.48,265.47,965.14,2607.5,1452.5,32865.0
5525,-29.04,263.15,965.26,1767.5,2975.0,36610.0
5554,-21.23,261.45,965.87,367.5,4427.5,36645.0
5583,-9.76,260.1,967.46,1627.5,945.0,31692.5
5612,1.34,259.62,967.34,5110.0,-2327.5,27195.0
5641,11.22,259.62,964.29,1662.5,2292.5,26320.0
5670,20.74,259.49,960.87,-945.0,4847.5,25200.0
5699,30.87,259.25,957.82,-3220.0,6685.0,24202.5
5728,42.46,259.37,956.36,-6195.0,6002.5,20387.5
5757,55.27,259.86,956.97,-4130.0,2310.0,15697.5
5786,71.49,261.32,958.92,-3517.5,4252.5,10727.5
5815,90.04,264.01,961.73,-2467.5,5022.5,2747.5
5845,108.34,266.45,964.41,560.0,2100.0,-7052.5
5874,122.37,268.52,965.39,945.0,420.0,-16537.5
5904,130.54,269.13,964.78,52.5,1435.0,-21245.0
5933,133.22,268.28,962.82,-3010.0,3745.0,-24062.5
5962,131.27,266.33,961.85,-4515.0,2047.5,-25480.0
5991,126.51,263.89,962.09,-4567.5,2625.0,-25200.0
6020,119.93,261.93,962.58,-5127.5,595.0,-25760.0
6049,112.73,260.47,963.68,-5215.0,-1400.0,-25935.0
6078,106.75,259.86,965.26,-4357.5,-2257.5,-25777.5
6107,101.75,259.25,966.73,-3955.0,-2467.5,-27317.5
6136,95.53,257.42,968.8,-4742.5,-245.0,-29015.0
6165,86.74,254.61,971.0,-3325.0,-2257.5,-29872.5
6194,75.15,251.08,972.58,-2677.5,-2940.0,-28857.5
6223,59.78,246.93,973.8,-3797.5,-35.0,-23957.5
6252,42.46,241.8,975.51,-3167.5,-17.5,-18865.0
6282,23.67,235.7,978.07,-1907.5,-1102.5,-15855.0
6311,1.34,228.87,980.76,227.5,-2607.5,-9152.5
6340,-22.81,221.67,983.32,1785.0,-735.0,3290.0
6369,-43.43,215.45,984.78,3587.5,560.0,14367.5
6398,-58.19,210.94,984.05,3797.5,1067.5,21787.5
6427,-67.47,208.13,982.59,2502.5,2257.5,26407.5
6456,-73.08,205.81,981.73,1242.5,3500.0,29470.0
6485,-75.76,202.89,981.61,-350.0,3850.0,33600.0
6514,-74.54,199.47,982.1,262.5,2555.0,34807.5
6544,-70.76,195.2,982.22,2205.0,-367.5,34160.0
6573,-66.0,190.56,982.34,2747.5,-3272.5,34370.0
6602,-59.29,186.66,982.83,3272.5,-1277.5,37835.0
6631,-47.7,184.71,981.98,3500.0,-822.5,38832.5
