acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
3.66,264.62,981.49,7805.0,1715.0,20177.5
4.64,264.74,982.1,9205.0,140.0,20370.0
5.61,265.23,982.22,11445.0,-1102.5,21805.0
7.08,266.45,981.37,12110.0,52.5,23292.5
8.78,268.4,979.17,10430.0,1872.5,23975.0
10.25,271.08,976.61,9397.5,1295.0,24115.0
11.96,273.77,974.05,9642.5,-35.0,24482.5
14.52,276.57,971.73,10027.5,-210.0,24482.5
17.57,279.38,969.05,9380.0,595.0,23940.0
20.98,282.19,965.75,8067.5,857.5,23520.0
24.77,285.24,962.46,7017.5,682.5,22872.5
29.04,288.53,959.29,5180.0,787.5,21857.5
33.92,292.31,956.72,3902.5,402.5,20475.0
40.26,296.46,955.02,3605.0,-87.5,19022.5
48.07,301.1,953.43,3902.5,-227.5,16887.5
57.34,305.73,952.09,3657.5,-402.5,14525.0
68.08,310.49,950.87,2327.5,140.0,10447.5
79.54,315.25,950.26,1067.5,1575.0,4567.5
90.04,319.4,950.14,1172.5,542.5,-1225.0
99.55,323.06,950.01,2642.5,-1785.0,-6300.0
108.58,326.47,949.77,2940.0,-2380.0,-10920.0
116.75,329.16,949.28,2485.0,-1522.5,-15662.5
123.59,331.11,948.67,1575.0,-1312.5,-20335.0
128.47,332.69,948.31,1750.0,-3342.5,-25007.5
131.52,333.91,947.82,3080.0,-6457.5,-28822.5
132.98,335.01,947.45,3885.0,-8890.0,-31745.0
133.59,335.74,947.21,3972.5,-9520.0,-33320.0
133.47,336.11,947.45,3377.5,-5950.0,-34212.5
132.49,336.23,947.57,1610.0,-1732.5,-34072.5
131.03,335.99,947.7,-490.0,1557.5,-33862.5
129.56,335.99,948.31,-577.5,1680.0,-34912.5
128.1,335.74,948.92,840.0,-210.0,-37135.0
125.78,335.13,949.4,2467.5,-2467.5,-40652.5
122.0,334.16,950.14,3097.5,-5460.0,-42875.0
116.88,332.69,951.11,4200.0,-7490.0,-43610.0
111.02,331.23,951.97,5005.0,-7945.0,-43032.5
104.43,329.64,952.21,5617.5,-7035.0,-42297.5
97.36,328.06,952.09,5512.5,-6142.5,-41457.5
88.82,326.35,951.84,4725.0,-6317.5,-40040.0
79.42,324.52,951.84,5407.5,-7700.0,-37975.0
69.3,322.57,951.6,6807.5,-9257.5,-35245.0
58.56,320.62,951.23,6702.5,-8907.5,-31937.5
47.34,318.42,950.87,6037.5,-7805.0,-27825.0
35.87,316.22,950.14,5145.0,-7140.0,-22697.5
23.91,314.03,949.53,5547.5,-7175.0,-17570.0
11.59,311.83,948.79,6335.0,-7612.5,-12092.5
-0.98,310.25,947.94,7070.0,-8120.0,-5635.0
-12.69,309.27,947.21,7175.0,-7315.0,1680.0
-23.18,309.15,946.6,6160.0,-4445.0,9187.5
-32.33,309.51,945.38,4882.5,-1540.0,15750.0
-39.77,310.25,943.55,3867.5,-735.0,21297.5
-45.26,311.1,941.23,3745.0,-2292.5,25357.5
-48.43,311.95,938.91,3465.0,-3360.0,28455.0
-50.02,312.56,936.72,2590.0,-3290.0,30730.0
-50.51,312.69,934.76,1330.0,-2695.0,33687.5
-50.02,312.93,933.79,122.5,-1750.0,36715.0
-48.43,313.54,933.42,-262.5,-1295.0,39095.0
-45.87,314.88,933.06,262.5,-2187.5,40827.5
-41.97,316.47,932.45,665.0,-3360.0,42402.5
-36.72,317.93,931.96,-735.0,-1872.5,44485.0
-30.26,319.64,932.08,-2502.5,1312.5,45797.5
-23.18,321.59,932.08,-2642.5,2047.5,45832.5
-15.25,323.3,930.98,-2607.5,857.5,45290.0
-6.22,324.52,930.13,-4235.0,682.5,44817.5
3.78,325.74,930.62,-5792.5,2537.5,43557.5
13.91,327.45,932.2,-4917.5,2152.5,41842.5
24.16,329.16,933.3,-1697.5,-630.0,39585.0
34.77,330.74,933.54,-280.0,-2642.5,37800.0
46.73,332.33,934.03,-1032.5,-1067.5,35717.5
59.54,334.04,935.25,-2870.0,2082.5,33407.5
72.59,335.99,936.96,-3710.0,3815.0,29540.0
85.89,338.06,938.91,-2957.5,2747.5,24587.5
99.19,340.62,941.11,-1050.0,-192.5,18952.5
112.12,343.55,943.67,1837.5,-2817.5,12705.0
124.2,346.72,945.5,4725.0,-3500.0,6877.5
134.69,349.77,945.99,4917.5,-2275.0,2485.0
143.96,352.34,945.5,3325.0,-385.0,-1207.5
151.77,354.29,944.77,2852.5,910.0,-5267.5
158.48,356.0,943.67,3430.0,-175.0,-9257.5
164.09,357.34,942.08,3097.5,-1365.0,-13037.5
168.73,358.68,940.5,2170.0,-1505.0,-16555.0
172.51,359.78,939.16,1277.5,-1470.0,-19512.5
175.19,360.75,938.42,735.0,-1015.0,-21927.5
176.9,361.61,938.06,210.0,-122.5,-23817.5
178.0,361.97,937.57,-245.0,490.0,-25830.0
178.24,362.1,937.2,-455.0,-332.5,-28210.0
177.88,361.85,936.96,0.0,-1820.0,-30660.0
176.41,361.36,937.08,787.5,-2957.5,-32270.0
174.46,360.88,937.33,1627.5,-3185.0,-33232.5
172.14,360.27,937.2,1540.0,-2677.5,-33932.5
169.09,359.66,936.72,647.5,-1592.5,-34597.5
165.43,358.8,936.35,-455.0,-717.5,-34930.0
161.04,357.7,936.47,-997.5,-87.5,-34895.0
156.16,356.48,937.2,-280.0,-420.0,-34422.5
151.16,355.26,937.69,927.5,-1715.0,-34230.0
146.4,354.17,937.81,1452.5,-2712.5,-34387.5
141.28,353.31,937.69,1470.0,-3325.0,-35052.5
135.42,352.46,937.45,1347.5,-4025.0,-35192.5
128.71,351.24,937.33,1190.0,-4095.0,-34650.0
121.27,349.9,937.69,1155.0,-3850.0,-33092.5
112.85,348.31,938.18,1855.0,-3430.0,-30852.5
104.07,346.85,938.42,2432.5,-3220.0,-28087.5
94.79,345.38,938.55,2012.5,-2292.5,-25060.0
85.16,344.04,938.55,1242.5,-822.5,-21927.5
75.03,342.45,938.67,1067.5,420.0,-18182.5
64.42,340.99,938.79,822.5,2047.5,-13492.5
53.68,339.4,938.42,1032.5,2397.5,-8610.0
43.19,337.94,937.69,1050.0,1977.5,-3902.5
33.43,336.48,937.08,945.0,1295.0,1067.5
24.89,335.26,936.84,857.5,1680.0,5967.5
17.57,334.65,936.59,1347.5,1627.5,9817.5
11.35,334.52,935.74,2152.5,-157.5,12985.0
6.59,334.77,934.52,1802.5,-1260.0,15960.0
3.17,335.01,933.42,192.5,-35.0,18812.5
0.85,335.26,933.18,-945.0,1662.5,21507.5
-0.49,335.5,933.18,-682.5,1925.0,24062.5
-0.73,335.74,933.06,105.0,980.0,25602.5
0.12,335.99,932.81,192.5,332.5,26722.5
1.71,336.48,932.93,-647.5,787.5,27405.0
3.54,337.09,933.3,-402.5,297.5,27912.5
5.61,337.7,933.54,700.0,-1085.0,28840.0
8.54,338.43,933.42,630.0,-1067.5,29767.5
12.2,338.92,933.42,-437.5,682.5,30712.5
16.59,339.53,933.91,-1505.0,2782.5,31325.0
21.47,340.38,934.64,-1277.5,2765.0,31097.5
26.47,341.36,935.13,245.0,560.0,30082.5
31.84,342.58,935.25,1820.0,-2117.5,28542.5
37.33,343.8,934.89,2082.5,-3097.5,27352.5
43.07,345.02,934.76,1015.0,-1977.5,26810.0
48.8,346.24,934.52,735.0,-840.0,26337.5
54.9,347.46,934.03,210.0,-70.0,26040.0
61.24,348.8,933.3,-105.0,35.0,24885.0
68.08,350.38,932.57,0.0,-1277.5,23012.5
75.15,351.85,931.59,0.0,-2607.5,21000.0
82.72,353.31,931.35,-682.5,-2572.5,19477.5
91.01,354.78,931.84,-1032.5,-560.0,17920.0
99.8,356.36,932.81,-1575.0,1785.0,16100.0
108.82,358.19,933.79,-1015.0,2327.5,13055.0
117.85,360.14,934.76,-315.0,1172.5,9100.0
126.64,361.85,935.62,472.5,-245.0,4515.0
134.93,363.44,936.47,1225.0,-1417.5,-17.5
142.25,365.02,937.2,1662.5,-1645.0,-4147.5
148.35,366.37,937.45,1837.5,-1242.5,-7157.5
153.48,367.59,937.2,1242.5,-245.0,-9887.5
157.75,368.68,936.59,332.5,280.0,-12582.5
161.16,369.66,935.74,17.5,-70.0,-15522.5
163.48,370.39,934.52,140.0,-1137.5,-18182.5
164.94,370.76,932.93,-420.0,-1697.5,-20247.5
165.68,370.88,931.59,-1785.0,-1050.0,-22067.5
165.43,370.76,930.62,-2607.5,-542.5,-23607.5
164.33,370.51,929.88,-2590.0,-1435.0,-24657.5
162.87,370.27,929.03,-3080.0,-1697.5,-25392.5
161.28,369.78,928.66,-4147.5,-1067.5,-26460.0
159.33,368.93,928.79,-4637.5,-682.5,-27335.0
156.65,367.95,929.4,-4602.5,-647.5,-28122.5
153.35,366.37,930.37,-4427.5,-1102.5,-28700.0
149.33,364.41,931.96,-3902.5,-1015.0,-28752.5
144.45,362.1,933.91,-3132.5,-455.0,-28105.0
139.08,359.66,935.62,-1732.5,-490.0,-27072.5
133.22,357.34,936.84,-1102.5,-980.0,-26145.0
127.37,354.9,938.18,-945.0,-962.5,-25672.5
120.78,352.58,939.64,-682.5,-262.5,-24535.0
113.22,350.26,941.35,-297.5,-437.5,-23100.0
105.29,347.82,943.06,822.5,-682.5,-20527.5
96.87,345.5,944.77,2257.5,-262.5,-17902.5
87.72,343.31,946.11,3535.0,35.0,-14542.5
78.45,341.23,946.48,4620.0,-315.0,-10885.0
69.3,339.4,945.74,4497.5,-402.5,-7157.5
60.76,337.7,944.77,3465.0,87.5,-3342.5
52.46,336.23,944.16,3202.5,630.0,612.5
45.02,335.26,943.55,3727.5,612.5,4707.5
38.55,334.65,942.45,3587.5,962.5,8400.0
33.18,334.28,941.23,3167.5,980.0,11305.0
28.55,334.28,939.77,3185.0,87.5,14087.5
24.89,334.4,938.18,2992.5,-490.0,16852.5
22.69,334.65,936.59,2047.5,-315.0,19040.0
21.47,335.01,935.13,1102.5,-402.5,20545.0
21.35,335.5,934.03,822.5,-1330.0,21647.5
21.84,335.99,933.54,752.5,-1995.0,22872.5
23.06,336.72,933.3,945.0,-1855.0,24045.0
24.89,337.45,933.18,875.0,-1137.5,25305.0
27.57,338.18,932.93,437.5,-735.0,26145.0
30.87,339.28,932.32,227.5,-1015.0,26320.0
34.65,340.5,931.84,210.0,-1960.0,25777.5
38.8,341.72,930.86,315.0,-3465.0,25112.5
43.68,342.94,929.88,-52.5,-4340.0,24412.5
48.92,344.04,929.27,-717.5,-3815.0,23940.0
54.53,344.89,929.03,-1715.0,-2117.5,23800.0
60.39,345.75,929.4,-2730.0,-297.5,23695.0
66.61,346.72,929.88,-2205.0,-35.0,23012.5
73.57,347.7,930.62,-2012.5,-245.0,21997.5
81.37,348.68,931.47,-2345.0,0.0,20230.0
89.79,350.14,932.81,-1820.0,122.5,17920.0
98.7,351.85,934.4,-927.5,105.0,14805.0
107.6,353.56,935.37,245.0,-490.0,10885.0
116.14,355.39,936.11,700.0,-1452.5,7210.0
124.07,357.09,936.47,1120.0,-1907.5,3885.0
131.52,358.8,936.35,875.0,-1330.0,1085.0
138.59,360.51,936.11,210.0,-542.5,-2082.5
144.81,362.1,935.74,-262.5,-805.0,-5285.0
150.3,363.56,935.25,-175.0,-1365.0,-8592.5
154.7,364.54,934.52,-525.0,-1767.5,-11812.5
158.11,365.02,933.79,-1242.5,-1540.0,-14122.5
160.31,365.02,933.54,-1960.0,-332.5,-15645.0
161.65,364.78,933.42,-2275.0,630.0,-16940.0
162.14,364.66,933.18,-2047.5,0.0,-18462.5
162.02,364.41,932.57,-1995.0,-1050.0,-19880.0
161.53,364.05,931.96,-2747.5,-1260.0,-21000.0
160.67,363.32,932.08,-3710.0,-700.0,-22032.5
159.33,362.34,932.81,-3902.5,350.0,-22540.0
157.38,361.12,934.03,-3745.0,1417.5,-22785.0
155.06,359.78,935.5,-2817.5,1365.0,-23170.0
152.38,358.44,936.59,-1627.5,472.5,-23397.5
149.57,357.22,937.69,-1505.0,752.5,-23642.5
146.52,355.87,938.67,-1732.5,1137.5,-24097.5
142.98,354.53,939.64,-892.5,140.0,-24307.5
139.08,353.07,940.62,35.0,-455.0,-24202.5
134.81,351.48,941.84,385.0,-87.5,-23782.5
129.93,349.9,942.82,542.5,472.5,-23310.0
124.2,347.94,943.79,770.0,350.0,-22382.5
117.73,345.99,945.01,1680.0,-560.0,-21332.5
110.65,343.8,946.35,3237.5,-1575.0,-19862.5
102.97,341.84,947.57,4077.5,-1750.0,-17832.5
94.92,339.77,948.43,4532.5,-1050.0,-15400.0
86.5,337.7,949.4,4375.0,315.0,-12075.0
77.84,335.62,950.38,5022.5,875.0,-8277.5
69.3,334.04,951.11,6912.5,350.0,-4322.5
61.49,332.82,950.99,7962.5,105.0,-402.5
54.9,331.96,950.26,6860.0,2065.0,3342.5
49.04,331.6,949.53,5600.0,4060.0,6632.5
43.8,331.47,949.16,6387.5,3815.0,9747.5
39.16,332.08,948.43,8172.5,2712.5,12390.0
35.38,332.94,946.48,8855.0,1872.5,14700.0
32.7,334.28,943.06,7717.5,1330.0,16607.5
30.99,335.74,939.4,5582.5,1155.0,18147.5
30.13,337.33,936.23,4060.0,875.0,19407.5
29.89,339.04,933.67,3360.0,35.0,20422.5
